,friend_out
1346,76561197966308041
1347,76561197967658060
1348,76561197968437820
1349,76561197968812518
1350,76561197969280479
1351,76561197970483632
1352,76561197970833559
1353,76561197970923399
1354,76561197971019985
1355,76561197971159244
1356,76561197971171988
1357,76561197972100809
1358,76561197972349712
1359,76561197974553664
1360,76561197975178084
1361,76561197975948143
1362,76561197976116890
1363,76561197977556282
1364,76561197978155021
1365,76561197979112804
1366,76561197979864194
1367,76561197979975870
1368,76561197981605103
1369,76561197981744892
1370,76561197982624890
1371,76561197982933050
1372,76561197986757265
1373,76561197987684407
1374,76561197990464561
1375,76561197992441267
1376,76561197993104651
1377,76561197993151459
1378,76561197993244425
1379,76561197993265413
1380,76561197993298262
1381,76561197993322502
1382,76561197993699405
1383,76561197993757326
1384,76561197994530202
1385,76561197995490039
1386,76561197995984651
1387,76561197996410123
1388,76561197996675605
1389,76561197996715000
1390,76561197998960821
1391,76561197999282226
1392,76561198000319059
1393,76561198000400299
1394,76561198000951390
1395,76561198001401013
1396,76561198003126352
1397,76561198003388339
1398,76561198004473143
1399,76561198004780375
1400,76561198004783253
1401,76561198009665168
1402,76561198010450479
1403,76561198011334989
1404,76561198012685276
1405,76561198016434201
1406,76561198019330819
1407,76561198022757163
1408,76561198023656579
1409,76561198025395968
1410,76561198028571184
1411,76561198033628890
1412,76561198033723459
1413,76561198034467411
1414,76561198035475529
1415,76561198035637999
1416,76561198037366736
1417,76561198037373959
1418,76561198038738811
1419,76561198040609985
1420,76561198043461908
1421,76561198047317358
1422,76561198050817468
1423,76561198051643084
1424,76561198055234623
1425,76561198060991805
1426,76561198063929894
1427,76561198066974580
1428,76561198067002281
1429,76561198067708838
1430,76561198071587688
1431,76561198132555164
1432,76561198142249255
1433,76561198158608916
1434,76561198185860921
1435,76561197960869554
1436,76561197972100809
1437,76561197974553664
1438,76561197979975870
1439,76561197982933050
1440,76561197993298262
1441,76561197993757326
1442,76561197996410123
1443,76561197999976217
1444,76561198124870621
1445,76561198160331041
1446,76561198173125077
1447,76561197960873136
1448,76561197963016666
1449,76561197972374076
1450,76561197972831153
1451,76561197974553664
1452,76561197978431979
1453,76561197978441108
1454,76561197990596806
1455,76561197992239238
1456,76561197992382882
1457,76561197993155875
1458,76561197993236838
1459,76561198000730434
1460,76561198004197501
1461,76561198010125214
1462,76561198028800797
1463,76561198036466697
1464,76561198040730261
1465,76561198048818598
1466,76561198057490360
1467,76561198092975386
1468,76561198439836794
1469,76561198855550512
1470,76561197960562820
1471,76561197967344351
1472,76561197974553664
1473,76561197978431979
1474,76561197978441108
1475,76561197980813043
1476,76561198023506552
1477,76561198035337396
1478,76561198040116504
1479,76561198057490360
1480,76561198083903329
1481,76561198092975386
1482,76561198439836794
1483,76561197974553664
1484,76561198006512736
1485,76561198025301985
1486,76561198092630899
1487,76561197974553664
1488,76561197974643362
1489,76561197978431979
1490,76561197978441108
1491,76561197996889555
1492,76561198015617621
1493,76561198027039705
1494,76561198035337396
